"","pollster","date","start","end","respondents","party","percent","votes","state"
"1","insa",2022-04-29,2022-04-29,2022-04-29,1018,"cdu",16,162.88,"mecklenburg-vorpommern"
"2","insa",2022-04-29,2022-04-29,2022-04-29,1018,"spd",35,356.3,"mecklenburg-vorpommern"
"3","insa",2022-04-29,2022-04-29,2022-04-29,1018,"greens",6,61.08,"mecklenburg-vorpommern"
"4","insa",2022-04-29,2022-04-29,2022-04-29,1018,"fdp",6,61.08,"mecklenburg-vorpommern"
"5","insa",2022-04-29,2022-04-29,2022-04-29,1018,"left",11,111.98,"mecklenburg-vorpommern"
"6","insa",2022-04-29,2022-04-29,2022-04-29,1018,"afd",18,183.24,"mecklenburg-vorpommern"
"7","insa",2022-04-29,2022-04-29,2022-04-29,1018,"others",8,81.44,"mecklenburg-vorpommern"
"8","forsa",2022-03-24,2022-03-24,2022-03-24,1001,"cdu",16,160.16,"mecklenburg-vorpommern"
"9","forsa",2022-03-24,2022-03-24,2022-03-24,1001,"spd",34,340.34,"mecklenburg-vorpommern"
"10","forsa",2022-03-24,2022-03-24,2022-03-24,1001,"greens",7,70.07,"mecklenburg-vorpommern"
"11","forsa",2022-03-24,2022-03-24,2022-03-24,1001,"fdp",5,50.05,"mecklenburg-vorpommern"
"12","forsa",2022-03-24,2022-03-24,2022-03-24,1001,"left",12,120.12,"mecklenburg-vorpommern"
"13","forsa",2022-03-24,2022-03-24,2022-03-24,1001,"afd",16,160.16,"mecklenburg-vorpommern"
"14","forsa",2022-03-24,2022-03-24,2022-03-24,1001,"others",10,100.1,"mecklenburg-vorpommern"
"15","insa",2022-02-14,2022-02-14,2022-02-14,1000,"cdu",16,160,"mecklenburg-vorpommern"
"16","insa",2022-02-14,2022-02-14,2022-02-14,1000,"spd",36,360,"mecklenburg-vorpommern"
"17","insa",2022-02-14,2022-02-14,2022-02-14,1000,"greens",6,60,"mecklenburg-vorpommern"
"18","insa",2022-02-14,2022-02-14,2022-02-14,1000,"fdp",6,60,"mecklenburg-vorpommern"
"19","insa",2022-02-14,2022-02-14,2022-02-14,1000,"left",11,110,"mecklenburg-vorpommern"
"20","insa",2022-02-14,2022-02-14,2022-02-14,1000,"afd",17,170,"mecklenburg-vorpommern"
"21","insa",2022-02-14,2022-02-14,2022-02-14,1000,"others",8,80,"mecklenburg-vorpommern"
"22","insa",2021-09-24,2021-09-24,2021-09-24,1058,"cdu",13,137.54,"mecklenburg-vorpommern"
"23","insa",2021-09-24,2021-09-24,2021-09-24,1058,"spd",40,423.2,"mecklenburg-vorpommern"
"24","insa",2021-09-24,2021-09-24,2021-09-24,1058,"greens",7,74.06,"mecklenburg-vorpommern"
"25","insa",2021-09-24,2021-09-24,2021-09-24,1058,"fdp",5,52.9,"mecklenburg-vorpommern"
"26","insa",2021-09-24,2021-09-24,2021-09-24,1058,"left",11,116.38,"mecklenburg-vorpommern"
"27","insa",2021-09-24,2021-09-24,2021-09-24,1058,"afd",17,179.86,"mecklenburg-vorpommern"
"28","insa",2021-09-24,2021-09-24,2021-09-24,1058,"others",7,74.06,"mecklenburg-vorpommern"
"29","fgw",2021-09-23,2021-09-23,2021-09-23,1015,"cdu",14,142.1,"mecklenburg-vorpommern"
"30","fgw",2021-09-23,2021-09-23,2021-09-23,1015,"spd",39,395.85,"mecklenburg-vorpommern"
"31","fgw",2021-09-23,2021-09-23,2021-09-23,1015,"greens",7,71.05,"mecklenburg-vorpommern"
"32","fgw",2021-09-23,2021-09-23,2021-09-23,1015,"fdp",5.5,55.825,"mecklenburg-vorpommern"
"33","fgw",2021-09-23,2021-09-23,2021-09-23,1015,"left",11,111.65,"mecklenburg-vorpommern"
