id,year,speech_year,date,description,subtitle,words,majortopic,filter_international,filter_duplicate
1,1960,52,06/01/1960,Engineering Unions Press Pay And Hours Claim,Apparition Of Inflationary Spiral Laid,1042,5,0,0
2,1960,52,06/01/1960,In Disaster Pit,,796,8,0,0
3,1960,52,06/01/1960,Peeping Toms,,159,12,0,0
4,1960,52,06/01/1960,Police Officer Praised For Car Struggle,,173,12,0,0
5,1960,52,06/01/1960,540 Tugmen End Strike,Employers Agree To Supply Deck Boys,411,10,0,0
6,1960,52,06/01/1960,Broadmoor Escape Inquiry Urged,,109,12,0,0
7,1960,52,06/01/1960,Police Interview Provost,No Action Under Local Government ACT,563,12,0,0
8,1960,52,06/01/1960,Tube Driver Averts Collision,Signalled With Lamps After Derailment,120,10,0,0
9,1960,52,06/01/1960,Croydon Town Clerk Replies To Complaint,,607,24,0,0
10,1960,52,06/01/1960,B.T.C. Interest In Air Firm,Talks On Silver City Shares,331,10,0,0
11,1960,52,06/01/1960,Blackpool Palace Site Inquiries,No Intension Of Selling At The Moment,217,14,0,0
12,1960,52,06/01/1960,"?1,000 Hot Room Puts Liverpool In The Tropics",Doctors' Design AIDS Research Into Living Under Heat,678,34,0,0
13,1960,52,06/01/1960,Driving Teachers Threaten Strike,Dispute Over Dismissal Of Instructor,348,10,0,0
14,1960,52,06/01/1960,Lost Boys In Cavern For 23 Hours,,103,27,0,0
15,1960,52,06/01/1960,"?250,738 Pools Win By Butcher",,117,34,0,0
16,1960,52,06/01/1960,Averbach Beats Kottnauer,Leading Positions In Hastings Chess,361,29,0,0
17,1960,52,13/01/1960,Behind the Failure of the 1954 Conference,,3260,20,0,0
18,1960,52,13/01/1960,"Roof Parking In ?350,000 Scheme",New Derby Shopping Centre,171,10,0,0
19,1960,52,13/01/1960,Lancashire Reaction To Hongkong Setback,For Ending Agreement,226,16,0,0
20,1960,52,13/01/1960,Men Overcome By Gas In Ship,,101,10,0,0
21,1960,52,13/01/1960,Molotov's Private Thoughts On Germany,Free Elections-if the Resultant Government is Agreed on Beforehand,2588,19,1,0
22,1960,52,13/01/1960,Private Session In Strike Talks,Shell Site Proposals For Minister,326,5,0,0
23,1960,52,13/01/1960,Ind Coope Introduce Pension Scheme,,148,5,0,0
24,1960,52,13/01/1960,Not Likely To Retaliate,Claim By Boycott Movement,323,18,0,0
25,1960,52,13/01/1960,Advisory Post For Mr. Robens Criticized,In Speech,145,20,0,0
26,1960,52,13/01/1960,Taken Away For Scrap,Pit Disaster Inquiry Evidence,420,8,0,0
27,1960,52,13/01/1960,Government Planning More Aid For Civil Aircraft,,918,10,0,0
28,1960,52,13/01/1960,Latest Line-Up In Aviation Industry,,385,10,0,0
29,1960,52,13/01/1960,Residents Try To Block Roads,Motorists Avoiding City Roundabout,305,10,0,0
30,1960,52,20/01/1960,N.U.R. Asking For Immediate Interim Pay Rise,Pressure On Union Leaders By Impatient Branches,742,10,0,0
